time,interaction_energy
0.000000000000000000e+00,-2.539416659999999979e+02
2.000000000000000000e+01,-2.383937070000000062e+02
4.000000000000000000e+01,-2.402120209999999929e+02
6.000000000000000000e+01,-2.048646170000000097e+02
8.000000000000000000e+01,-2.480484620000000007e+02
1.000000000000000000e+02,-1.894007269999999892e+02
1.200000000000000000e+02,-1.676524350000000254e+02
1.400000000000000000e+02,-1.245286990000000031e+02
1.600000000000000000e+02,-1.335926660000000084e+02
1.800000000000000000e+02,-8.242464499999999816e+01
2.000000000000000000e+02,-5.537442800000000176e+01
2.200000000000000000e+02,-8.744680400000000020e+01
2.400000000000000000e+02,-1.008249369999999914e+02
2.600000000000000000e+02,-8.991447000000000855e+01
2.800000000000000000e+02,-9.053762399999999388e+01
3.000000000000000000e+02,-9.132559599999999023e+01
3.200000000000000000e+02,-1.188107179999999943e+02
3.400000000000000000e+02,-1.124877909999999872e+02
3.600000000000000000e+02,-8.545398799999999540e+01
3.800000000000000000e+02,-1.242097689999999943e+02
4.000000000000000000e+02,-1.159732400000000041e+02
4.200000000000000000e+02,-7.748101499999999930e+01
4.400000000000000000e+02,-9.693600999999999601e+01
4.600000000000000000e+02,-1.216639059999999972e+02
4.800000000000000000e+02,-9.867407599999999945e+01
5.000000000000000000e+02,-9.591359599999999830e+01
5.200000000000000000e+02,-1.107465979999999917e+02
5.400000000000000000e+02,-1.171053039999999896e+02
5.600000000000000000e+02,-1.096840800000000087e+02
5.800000000000000000e+02,-1.001126199999999926e+02
6.000000000000000000e+02,-9.661631600000001185e+01
6.200000000000000000e+02,-6.887513699999999517e+01
6.400000000000000000e+02,-8.800431899999999530e+01
6.600000000000000000e+02,-9.750992100000000562e+01
6.800000000000000000e+02,-7.254006400000000099e+01
7.000000000000000000e+02,-1.001803450000000026e+02
7.200000000000000000e+02,-1.192593119999999942e+02
7.400000000000000000e+02,-1.266520800000000122e+02
7.600000000000000000e+02,-1.045609319999999940e+02
7.800000000000000000e+02,-1.177198789999999917e+02
8.000000000000000000e+02,-1.321533279999999877e+02
8.200000000000000000e+02,-1.022834130000000101e+02
8.400000000000000000e+02,-1.276439969999999988e+02
8.600000000000000000e+02,-1.136248290000000054e+02
8.800000000000000000e+02,-6.332798100000000119e+01
9.000000000000000000e+02,-7.580396700000000010e+01
9.200000000000000000e+02,-9.080590999999999724e+01
9.400000000000000000e+02,-9.146485899999998992e+01
9.600000000000000000e+02,-9.166141000000000361e+01
9.800000000000000000e+02,-9.048772600000000921e+01
1.000000000000000000e+03,-7.577095400000000325e+01
1.020000000000000000e+03,-7.314907500000001050e+01
1.040000000000000000e+03,-8.913319599999999809e+01
1.060000000000000000e+03,-9.228347200000000328e+01
1.080000000000000000e+03,-1.255271079999999984e+02
1.100000000000000000e+03,-1.259351879999999966e+02
1.120000000000000000e+03,-1.314848709999999983e+02
1.140000000000000000e+03,-9.115854800000001035e+01
1.160000000000000000e+03,-1.201433339999999959e+02
1.180000000000000000e+03,-1.253922239999999988e+02
1.200000000000000000e+03,-9.983881300000000181e+01
1.220000000000000000e+03,-1.118755199999999945e+02
1.240000000000000000e+03,-1.023816449999999918e+02
1.260000000000000000e+03,-1.256416659999999865e+02
1.280000000000000000e+03,-1.165264469999999903e+02
1.300000000000000000e+03,-1.223012789999999939e+02
1.320000000000000000e+03,-1.074620480000000100e+02
1.340000000000000000e+03,-1.079892650000000032e+02
1.360000000000000000e+03,-7.625731799999999794e+01
1.380000000000000000e+03,-9.244502500000000111e+01
1.400000000000000000e+03,-7.970768499999999790e+01
1.420000000000000000e+03,-8.722138799999999037e+01
1.440000000000000000e+03,-7.804045699999998931e+01
1.460000000000000000e+03,-6.076355900000000787e+01
1.480000000000000000e+03,-9.107538200000000472e+01
1.500000000000000000e+03,-8.155134599999999523e+01
1.520000000000000000e+03,-7.588900200000000495e+01
1.540000000000000000e+03,-1.046093630000000019e+02
1.560000000000000000e+03,-1.109212760000000060e+02
1.580000000000000000e+03,-9.601973399999999970e+01
1.600000000000000000e+03,-9.680807799999999474e+01
1.620000000000000000e+03,-8.970808100000000707e+01
1.640000000000000000e+03,-9.642030400000000157e+01
1.660000000000000000e+03,-9.360114699999999743e+01
1.680000000000000000e+03,-9.248602300000000298e+01
1.700000000000000000e+03,-9.652368099999999629e+01
1.720000000000000000e+03,-6.294964999999999833e+01
1.740000000000000000e+03,-6.907631000000000654e+01
1.760000000000000000e+03,-7.728683599999999387e+01
1.780000000000000000e+03,-8.349775400000000047e+01
1.800000000000000000e+03,-7.301778099999999938e+01
1.820000000000000000e+03,-8.213264900000000068e+01
1.840000000000000000e+03,-9.054881899999999462e+01
1.860000000000000000e+03,-1.057944740000000081e+02
1.880000000000000000e+03,-8.181343400000000088e+01
1.900000000000000000e+03,-1.124689759999999978e+02
1.920000000000000000e+03,-1.178502989999999926e+02
1.940000000000000000e+03,-1.057882120000000015e+02
1.960000000000000000e+03,-1.038469199999999972e+02
1.980000000000000000e+03,-1.141884560000000022e+02
2.000000000000000000e+03,-1.075674520000000030e+02
2.020000000000000000e+03,-1.244461560000000020e+02
2.040000000000000000e+03,-1.615871429999999975e+02
2.060000000000000000e+03,-1.181875989999999916e+02
2.080000000000000000e+03,-1.048455529999999953e+02
2.100000000000000000e+03,-1.387906300000000215e+02
2.120000000000000000e+03,-1.193424990000000037e+02
2.140000000000000000e+03,-1.022892909999999915e+02
2.160000000000000000e+03,-1.180698579999999964e+02
2.180000000000000000e+03,-1.139629589999999979e+02
2.200000000000000000e+03,-1.061210620000000091e+02
2.220000000000000000e+03,-1.110962080000000043e+02
2.240000000000000000e+03,-8.946474700000000269e+01
2.260000000000000000e+03,-1.014943289999999934e+02
2.280000000000000000e+03,-1.109369729999999947e+02
2.300000000000000000e+03,-1.094590500000000048e+02
2.320000000000000000e+03,-1.005934820000000087e+02
2.340000000000000000e+03,-1.255153360000000049e+02
2.360000000000000000e+03,-9.599881599999999082e+01
2.380000000000000000e+03,-1.032420079999999984e+02
2.400000000000000000e+03,-1.027951989999999967e+02
2.420000000000000000e+03,-1.183257710000000031e+02
2.440000000000000000e+03,-1.196691079999999943e+02
2.460000000000000000e+03,-1.008797480000000064e+02
2.480000000000000000e+03,-9.692444900000000985e+01
2.500000000000000000e+03,-1.003115549999999985e+02
2.520000000000000000e+03,-9.445605300000001137e+01
2.540000000000000000e+03,-1.052052649999999971e+02
2.560000000000000000e+03,-1.015355530000000073e+02
2.580000000000000000e+03,-9.464409799999999962e+01
2.600000000000000000e+03,-1.002604430000000093e+02
2.620000000000000000e+03,-1.031530199999999979e+02
2.640000000000000000e+03,-8.745413200000000131e+01
2.660000000000000000e+03,-1.086068460000000044e+02
2.680000000000000000e+03,-8.077368899999999030e+01
2.700000000000000000e+03,-8.685494599999999821e+01
2.720000000000000000e+03,-1.110009780000000035e+02
2.740000000000000000e+03,-1.380594100000000140e+02
2.760000000000000000e+03,-1.305821689999999933e+02
2.780000000000000000e+03,-1.098420950000000005e+02
2.800000000000000000e+03,-1.052852540000000090e+02
2.820000000000000000e+03,-8.784704800000000091e+01
2.840000000000000000e+03,-7.378712600000000066e+01
2.860000000000000000e+03,-1.166503079999999954e+02
2.880000000000000000e+03,-1.023867119999999886e+02
2.900000000000000000e+03,-8.021202600000000871e+01
2.920000000000000000e+03,-7.869454500000000507e+01
2.940000000000000000e+03,-7.681824399999999287e+01
2.960000000000000000e+03,-8.563103699999999208e+01
2.980000000000000000e+03,-1.015359150000000028e+02
3.000000000000000000e+03,-9.134473100000001011e+01
3.020000000000000000e+03,-6.651973800000000381e+01
3.040000000000000000e+03,-9.160848099999999761e+01
3.060000000000000000e+03,-8.923654000000000508e+01
3.080000000000000000e+03,-7.726024500000001183e+01
3.100000000000000000e+03,-8.738555900000000065e+01
3.120000000000000000e+03,-1.111664860000000061e+02
3.140000000000000000e+03,-8.039301500000000544e+01
3.160000000000000000e+03,-9.195942300000000103e+01
3.180000000000000000e+03,-9.685331500000000915e+01
3.200000000000000000e+03,-1.036027180000000101e+02
3.220000000000000000e+03,-9.819245100000000548e+01
3.240000000000000000e+03,-1.042526510000000002e+02
3.260000000000000000e+03,-8.111129399999998668e+01
3.280000000000000000e+03,-9.794015699999999924e+01
3.300000000000000000e+03,-9.244954599999999800e+01
3.320000000000000000e+03,-8.629808400000000290e+01
3.340000000000000000e+03,-9.423381100000000288e+01
3.360000000000000000e+03,-1.192076339999999988e+02
3.380000000000000000e+03,-1.023931900000000041e+02
3.400000000000000000e+03,-8.732449400000000139e+01
3.420000000000000000e+03,-9.558620600000000422e+01
3.440000000000000000e+03,-1.226940670000000040e+02
3.460000000000000000e+03,-1.100500069999999937e+02
3.480000000000000000e+03,-1.377997520000000122e+02
3.500000000000000000e+03,-1.235423179999999945e+02
3.520000000000000000e+03,-1.369281119999999987e+02
3.540000000000000000e+03,-1.256018219999999985e+02
3.560000000000000000e+03,-1.162360910000000018e+02
3.580000000000000000e+03,-8.422946199999999806e+01
3.600000000000000000e+03,-1.351028369999999938e+02
3.620000000000000000e+03,-1.333851319999999987e+02
3.640000000000000000e+03,-1.215865519999999975e+02
3.660000000000000000e+03,-1.134221119999999985e+02
3.680000000000000000e+03,-6.675409500000000662e+01
3.700000000000000000e+03,-9.302373199999999542e+01
3.720000000000000000e+03,-1.124897840000000002e+02
3.740000000000000000e+03,-1.204589280000000002e+02
3.760000000000000000e+03,-7.863804700000000025e+01
3.780000000000000000e+03,-8.569934100000000399e+01
3.800000000000000000e+03,-7.353052100000000735e+01
3.820000000000000000e+03,-1.000469480000000004e+02
3.840000000000000000e+03,-7.016010800000000813e+01
3.860000000000000000e+03,-6.018186000000000035e+01
3.880000000000000000e+03,-8.439336199999999621e+01
3.900000000000000000e+03,-8.413705400000000623e+01
3.920000000000000000e+03,-4.863917999999999608e+01
3.940000000000000000e+03,-4.496580800000000266e+01
3.960000000000000000e+03,-5.186221100000000206e+01
3.980000000000000000e+03,-3.670558400000000177e+01
4.000000000000000000e+03,-4.396246800000000121e+01
4.020000000000000000e+03,-4.748845499999999475e+01
4.040000000000000000e+03,-6.417651299999999992e+01
4.060000000000000000e+03,-6.214648799999999795e+01
4.080000000000000000e+03,-4.288440200000000146e+01
4.100000000000000000e+03,-5.735255300000000034e+01
4.120000000000000000e+03,-5.593668900000000122e+01
4.140000000000000000e+03,-5.588982800000000140e+01
4.160000000000000000e+03,-4.081022099999999853e+01
4.180000000000000000e+03,-4.603706900000000246e+01
4.200000000000000000e+03,-5.662664999999999793e+01
4.220000000000000000e+03,-3.857358100000000434e+01
4.240000000000000000e+03,-3.547471800000000286e+01
4.260000000000000000e+03,-4.180458499999999589e+01
4.280000000000000000e+03,-5.110669599999999946e+01
4.300000000000000000e+03,-5.148943500000000029e+01
4.320000000000000000e+03,-3.284224100000000135e+01
4.340000000000000000e+03,-3.856808900000000051e+01
4.360000000000000000e+03,-5.594603499999999485e+01
4.380000000000000000e+03,-5.564940500000000156e+01
4.400000000000000000e+03,-5.458025800000000061e+01
4.420000000000000000e+03,-4.707058899999999824e+01
4.440000000000000000e+03,-2.918647800000000103e+01
4.460000000000000000e+03,-5.260884200000000277e+01
4.480000000000000000e+03,-5.692343100000000078e+01
4.500000000000000000e+03,-4.043843000000000387e+01
4.520000000000000000e+03,-4.758898500000000098e+01
4.540000000000000000e+03,-6.854934300000000746e+01
4.560000000000000000e+03,-3.269752300000000389e+01
4.580000000000000000e+03,-6.084901400000000393e+01
4.600000000000000000e+03,-5.049371000000000720e+01
4.620000000000000000e+03,-4.558229399999999742e+01
4.640000000000000000e+03,-2.808805600000000169e+01
4.660000000000000000e+03,-2.605548500000000089e+01
4.680000000000000000e+03,-5.046306299999999823e+01
4.700000000000000000e+03,-6.274803999999999604e+01
4.720000000000000000e+03,-5.210661699999999996e+01
4.740000000000000000e+03,-6.263064099999999712e+01
4.760000000000000000e+03,-7.444743100000000879e+01
4.780000000000000000e+03,-6.419807699999999784e+01
4.800000000000000000e+03,-6.677194400000000485e+01
4.820000000000000000e+03,-6.787663600000000486e+01
4.840000000000000000e+03,-5.371551000000000187e+01
4.860000000000000000e+03,-8.131333700000000420e+01
4.880000000000000000e+03,-9.051313799999999787e+01
4.900000000000000000e+03,-9.196502399999999966e+01
4.920000000000000000e+03,-1.370206829999999911e+02
4.940000000000000000e+03,-1.083576659999999947e+02
4.960000000000000000e+03,-1.279584580000000074e+02
4.980000000000000000e+03,-1.525540839999999889e+02
5.000000000000000000e+03,-1.341321450000000084e+02
